title,slug,videoUrl,description,brand,categories,specifications,shippingAndReturns,rating,isBestSeller,isNewArrival,isFeatured,isOnDeal,variant_name,variant_sku,variant_price,variant_salePrice,variant_stock,variant_inStock,variant_images,variant_weight,variant_height,variant_width,variant_depth,attribute1_name,attribute1_value,attribute2_name,attribute2_value,attribute3_name,attribute3_value
,,,,,,,,,,,,,Standard / Pink,PV_MZ1518200765BGSE_standard_pink,627.0,,91,TRUE,https://content.public.markaz.app/markazimagevideo/public/products/1518-223-681207-product-1.webp,,,,,Color,Pink,Size,Standard,,
,,,,,,,,,,,,,Free Size / Pink,PV_MZ2073200029BBNDMDNO_standard_pink,990.0,,100,TRUE,"https://content.public.markaz.app/markazimagevideo/public/thumbnails/products/2073-223-686338-product-3.webp,https://content.public.markaz.app/markazimagevideo/public/products/2073-223-686338-product-2.webp,https://content.public.markaz.app/markazimagevideo/public/thumbnails/products/2073-223-686338-product-2.webp,https://content.public.markaz.app/markazimagevideo/public/thumbnails/products/2073-223-686338-product-4.webp,https://content.public.markaz.app/markazimagevideo/public/thumbnails/products/2073-223-686338-product-6.webp,https://content.public.markaz.app/markazimagevideo/public/thumbnails/products/2073-223-686338-product-5.webp",,,,,Size,Free Size,Color,Pink,,
,,,,,,,,,,,,,Adjustable / Pink,PV_MZ1701201061ALHAGS_adjustable_pink,990.0,,100,TRUE,https://content.public.markaz.app/markazimagevideo/public/products/1701-223-681823-product-2.webp,,,,,Size,Adjustable,Color,Pink,,
7 Pcs Easy,7-pcs-easy,,"Experience comfort and convenience with this 7 piece therapy machine, designed for easy use and maintenance. Perfectly portable for on-the-go wellness and self-care, it includes therapy patches, wires, and cells to support various health needs. Enhance your lifestyle with this clinically-proven solution that fits seamlessly into your daily routine.",,Health Accessories,"Material: Plastic | | Number Of Pieces: 7 Pcs | | Product Feature: Easy To Use And Maintain, Portable For On-The-Go Use, Promotes Wellness And Self-Care | | Length: 10 inches |",,5.0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Standard Size / White,PV_MZ1177200004CYCS_standard-size_white,3230.0,,100,TRUE,https://content.public.markaz.app/markazimagevideo/public/products/1177-223-544579-product-1.jpg,,,,,Size,Standard Size,Color,White,,
Tummy Twister,tummy-twister,,Number Of Pieces: 1 Pc,,Health Accessories,Material: Silicone | | Number Of Pieces: 1 Pc |,,5.0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Free Size / Purple,PV_MZ1701200688ALHAGS_standard_purple,1190.0,,220,TRUE,"https://content.public.markaz.app/markazimagevideo/public/thumbnails/products/1701-223-653802-product-2.webp,https://content.public.markaz.app/markazimagevideo/public/thumbnails/products/1701-223-653802-product-1.webp,https://content.public.markaz.app/markazimagevideo/public/thumbnails/products/1701-223-653802-product-3.webp,https://content.public.markaz.app/markazimagevideo/public/thumbnails/products/1701-223-653802-product-5.webp,https://content.public.markaz.app/markazimagevideo/public/products/1701-223-653802-product-1.webp,https://content.public.markaz.app/markazimagevideo/public/thumbnails/products/1701-223-653802-product-4.webp",,,,,Size,Free Size,Color,Purple,,
,,,,,,,,,,,,,Standard / Purple,PV_MZ1701200862ALHAGS_standard_purple,1060.0,,120,TRUE,"https://content.public.markaz.app/markazimagevideo/public/products/1701-223-670310-product-1.webp,https://content.public.markaz.app/markazimagevideo/public/thumbnails/products/1701-223-670310-product-2.webp,https://content.public.markaz.app/markazimagevideo/public/thumbnails/products/1701-223-670310-product-3.webp,https://content.public.markaz.app/markazimagevideo/public/thumbnails/products/1701-223-670310-product-1.webp,https://content.public.markaz.app/markazimagevideo/public/thumbnails/products/1701-223-670310-product-5.webp,https://content.public.markaz.app/markazimagevideo/public/thumbnails/products/1701-223-670310-product-4.webp",,,,,Color,Purple,Size,Standard,,
,,,,,,,,,,,,,Standard Size / Purple,PV_MZ1701200731ALHAGS_standard-size_purple,1060.0,,120,TRUE,https://content.public.markaz.app/markazimagevideo/public/products/1701-223-662598-product-1.webp,,,,,Size,Standard Size,Color,Purple,,
,,,,,,,,,,,,,Standard / Multicolor,PV_MZ1899200042AAOETR_standard_standard,1059.0,,100,TRUE,"https://content.public.markaz.app/markazimagevideo/public/thumbnails/products/1899-223-671996-product-2.webp,https://content.public.markaz.app/markazimagevideo/public/thumbnails/products/1899-223-671996-product-4.webp,https://content.public.markaz.app/markazimagevideo/public/thumbnails/products/1899-223-671996-product-1-withcode.webp,https://content.public.markaz.app/markazimagevideo/public/thumbnails/products/1899-223-671996-product-3.webp,https://content.public.markaz.app/markazimagevideo/public/thumbnails/products/1899-223-671996-product-5.webp,https://content.public.markaz.app/markazimagevideo/public/products/1899-223-671996-product-1.webp,https://content.public.markaz.app/markazimagevideo/public/thumbnails/products/1899-223-671996-product-1.webp",,,,,Color,Multicolor,Size,Standard,,
